	(1)	(2)	(3)	(4)	(5)
VARIABLES	dwnom	dwnom	dwnom	dwnom	dwnom
					
F2.partyComp	-0.109**	0.188**	-0.493**		
	(0.0388)	(0.0506)	(0.0764)		
F2.demPresShare	0.195**	0.392**	-0.223	-0.253**	0.0158
	(0.0451)	(0.0549)	(0.143)	(0.0731)	(0.0779)
cF2.partyComp#cF2.demPresShare	0.348**	0.0392	0.567**		
	(0.0595)	(0.0730)	(0.164)		
F2.winMarg	0.0327**	0.0656**	-0.00325	0.0189*	0.0684**
	(0.00520)	(0.00626)	(0.00918)	(0.00752)	(0.0120)
F2.uncontested	-0.0878**	-0.0650**	-0.0220	-0.0460**	-0.103**
	(0.00564)	(0.00583)	(0.0942)	(0.00812)	(0.0194)
south	-0.101**	-0.112**	-0.0571**	-0.171**	-0.102**
	(0.00424)	(0.00500)	(0.00832)	(0.00611)	(0.00954)
dem	0.302**			0.149**	0.0323
	(0.0145)			(0.0444)	(0.161)
rep	-0.362**			-0.479**	-0.595**
	(0.0145)			(0.0444)	(0.161)
1874.year	-0.211**	-0.137**	-0.182**		
	(0.0241)	(0.0355)	(0.0298)		
1876.year	-0.191**	-0.0934**	-0.200**		
	(0.0242)	(0.0359)	(0.0291)		
1878.year	-0.187**	-0.0775*	-0.210**		
	(0.0242)	(0.0360)	(0.0292)		
1880.year	-0.200**	-0.0853*	-0.206**		
	(0.0242)	(0.0361)	(0.0290)		
1882.year	-0.218**	-0.140**	-0.208**		
	(0.0242)	(0.0356)	(0.0300)		
1884.year	-0.213**	-0.117**	-0.212**		
	(0.0240)	(0.0355)	(0.0291)		
1886.year	-0.209**	-0.0997**	-0.209**		
	(0.0239)	(0.0356)	(0.0287)		
1888.year	-0.215**	-0.0864*	-0.232**		
	(0.0238)	(0.0357)	(0.0284)		
1890.year	-0.230**	-0.157**	-0.251**		
	(0.0240)	(0.0350)	(0.0314)		
1892.year	-0.246**	-0.140**	-0.297**		
	(0.0241)	(0.0354)	(0.0300)		
1894.year	-0.220**	-0.0430	-0.257**		
	(0.0245)	(0.0378)	(0.0284)		
1896.year	-0.225**	-0.0819*	-0.245**		
	(0.0239)	(0.0363)	(0.0280)		
1898.year	-0.229**	-0.105**	-0.255**		
	(0.0238)	(0.0357)	(0.0281)		
1900.year	-0.227**	-0.0814*	-0.261**		
	(0.0238)	(0.0360)	(0.0279)		
1902.year	-0.226**	-0.0927**	-0.264**		
	(0.0235)	(0.0356)	(0.0276)		
1904.year	-0.223**	-0.0769*	-0.252**		
	(0.0236)	(0.0362)	(0.0272)		
1906.year	-0.233**	-0.0943**	-0.253**		
	(0.0235)	(0.0355)	(0.0275)		
1908.year	-0.227**	-0.114**	-0.242**		
	(0.0235)	(0.0354)	(0.0276)		
1910.year	-0.302**	-0.197**	-0.286**		
	(0.0241)	(0.0353)	(0.0302)		
1912.year	-0.311**	-0.222**	-0.276**		
	(0.0240)	(0.0351)	(0.0307)		
1914.year	-0.264**	-0.170**	-0.248**		
	(0.0236)	(0.0351)	(0.0285)		
1916.year	-0.254**	-0.155**	-0.254**		
	(0.0236)	(0.0352)	(0.0283)		
1918.year	-0.193**	-0.112**	-0.216**		
	(0.0232)	(0.0351)	(0.0273)		
1920.year	-0.201**	-0.119**	-0.188**		
	(0.0232)	(0.0363)	(0.0266)		
1922.year	-0.201**	-0.150**	-0.206**		
	(0.0232)	(0.0351)	(0.0272)		
1924.year	-0.198**	-0.157**	-0.193**		
	(0.0232)	(0.0353)	(0.0270)		
1926.year	-0.202**	-0.119**	-0.203**		
	(0.0233)	(0.0352)	(0.0275)		
1928.year	-0.203**	-0.129**	-0.191**		
	(0.0234)	(0.0357)	(0.0273)		
1930.year	-0.304**	-0.265**	-0.213**		
	(0.0240)	(0.0357)	(0.0291)		
1932.year	-0.302**	-0.271**	-0.181**		
	(0.0238)	(0.0349)	(0.0300)		
1934.year	-0.326**	-0.290**	-0.186**		
	(0.0238)	(0.0347)	(0.0310)		
1936.year	-0.323**	-0.291**	-0.182**		
	(0.0238)	(0.0348)	(0.0313)		
1938.year	-0.292**	-0.282**	-0.158**		
	(0.0235)	(0.0348)	(0.0288)		
1940.year	-0.284**	-0.264**	-0.171**	0.00246	
	(0.0236)	(0.0349)	(0.0291)	(0.0123)	
1942.year	-0.255**	-0.256**	-0.135**	0.0248*	
	(0.0235)	(0.0351)	(0.0283)	(0.0123)	
1944.year	-0.251**	-0.234**	-0.148**	0.0322**	
	(0.0235)	(0.0350)	(0.0285)	(0.0124)	
1946.year	-0.239**	-0.256**	-0.118**	0.0345**	
	(0.0235)	(0.0354)	(0.0281)	(0.0124)	
1948.year	-0.236**	-0.222**	-0.117**	0.0345**	
	(0.0234)	(0.0347)	(0.0286)	(0.0122)	
1950.year	-0.192**	-0.193**	-0.0867**	0.0514**	
	(0.0232)	(0.0348)	(0.0277)	(0.0126)	
1952.year	-0.187**	-0.197**	-0.0840**	0.0564**	
	(0.0231)	(0.0348)	(0.0273)	(0.0124)	
1954.year	-0.172**	-0.166**	-0.0827**	0.0636**	
	(0.0231)	(0.0346)	(0.0273)	(0.0125)	
1956.year	-0.161**	-0.162**	-0.0740**	0.0662**	
	(0.0231)	(0.0347)	(0.0273)	(0.0126)	
1958.year	-0.206**	-0.191**	-0.0892**	0.0476**	
	(0.0233)	(0.0344)	(0.0287)	(0.0121)	
1960.year	-0.214**	-0.211**	-0.0895**	0.0401**	
	(0.0233)	(0.0347)	(0.0284)	(0.0123)	
1962.year	-0.260**	-0.242**	-0.131**	0.0164	
