dwnom,beta2,beta1,beta3,beta4,beta5,south,rep,year
-.31099999,.24251869,.9753992,.23655254,.018498898,0,0,1,1872
.213,-.0076315403,.97586328,-.0074473401,.0044956207,0,0,0,1874
.213,-.012518883,.99799937,-.012493837,.08766818,0,0,0,1876
-.31099999,-.030555874,.98805648,-.03019093,.0601331,0,0,1,1878
-.33199999,-.026049823,.99912441,-.026027013,.024073362,0,0,1,1880
.39700001,-.019322306,.99148357,-.019157749,.0092474222,0,0,0,1882
-.33199999,-.020455986,.99542636,-.020362427,.011748672,0,0,1,1884
.227,-.035044134,.99512601,-.034873329,.022774994,0,0,0,1886
-.384,-.037351906,.99172437,-.037042797,.021831036,0,0,1,1888
.17,-.047089636,.98322523,-.046299718,.01495719,0,0,0,1890
.17,-.045743048,.97734797,-.044706874,.14693683,0,0,0,1892
-.48500001,-.20314297,.89256901,-.18131912,.43563223,0,0,1,1894
-.48500001,-.20336983,.89165306,-.18133533,.16383201,0,0,1,1896
-.48500001,-.10486445,.94271886,-.098857693,.19606531,0,0,1,1898
-.48500001,-.11451259,.94396585,-.10809597,.082080007,0,0,1,1900
-.48500001,-.066766351,.93050534,-.062126447,.18270117,0,0,1,1902
-.48500001,-.067286402,.92144883,-.062000975,.13067973,0,0,1,1904
-.48500001,-.14986432,.92305082,-.13833238,.26480293,0,0,1,1906
-.48500001,-.14986414,.9574703,-.14349046,.041647553,0,0,1,1908
-.48500001,-.17852306,.98627752,-.17607328,.015596509,0,0,1,1910
.23999999,-.18120086,.99193096,-.17973875,.021981418,0,0,0,1912
-.542,-.054561377,.9653154,-.052668937,.035602093,0,0,1,1914
.23999999,-.053529739,.9732545,-.052098058,.11307406,0,0,0,1916
.23999999,-.062135428,.91791332,-.057034936,.26958609,0,0,0,1918
-.421,-.068518192,.91075051,-.062402979,.068164587,0,0,1,1920
-.421,-.1019108,.89645278,-.091358222,.35306942,0,0,1,1922
-.421,-.10197312,.8423993,-.08590208,.27215487,0,0,1,1924
-.421,.011339098,.90798688,.010295752,.069325507,0,0,1,1926
-.421,.011354297,.9781518,.011106227,.0065802336,0,0,1,1928
.23999999,-.13917881,.99978739,-.13914922,.013129115,0,0,0,1930
.43399999,-.13824075,.99244684,-.1371966,.028556943,0,0,0,1932
.43399999,-.055522442,.95863879,-.053225968,.13597584,0,0,0,1934
.43399999,-.055522442,.97263229,-.054002918,.04088676,0,0,0,1936
-.064000003,-.035027444,.99467558,-.034840945,.054305196,0,0,1,1938
.43399999,-.034611404,.99873024,-.034567457,.027504444,0,0,0,1940
-.064000003,.0035355091,.99165285,.0035059976,.032147408,0,0,1,1942
.43399999,.0035070777,.96525902,.0033852383,.061488152,0,0,0,1944
-.064000003,-.020210505,.95975006,-.019397033,.10605121,0,0,1,1946
.32499999,-.020205736,.99639428,-.020132881,.0086320639,0,0,0,1948
.32499999,.022911042,.98228872,.022505257,.10229605,0,0,0,1950
.222,.022911042,.97656137,.022374038,.02009517,0,0,0,1952
.222,-.024763197,.9555198,-.023661725,.22900718,0,0,0,1954
-.111,-.024525106,.99274921,-.024347279,.12075531,0,0,1,1956
.37,.079401672,.94788074,.075263314,.16916025,0,0,0,1958
.37,.077556193,.96729022,.075019345,.054169774,0,0,0,1960
.37,.11657977,.92163932,.1074445,.39935827,0,0,0,1962
.37,.11520284,.9072051,.10451261,.16934812,0,0,0,1964
.37,.084371567,.96191669,.081158414,.25228357,0,0,0,1966
.37,.084777653,.99415398,.084282041,.0066350698,0,0,0,1968
.322,.098252803,.97552091,.095847666,.15211403,0,0,0,1970
.322,.098526478,.96569014,.095146045,.27133691,0,0,0,1972
.322,.0030665994,.9588595,.002940438,.15442646,0,0,0,1974
.322,.0030630827,.9703778,.0029723474,.20472276,0,0,0,1976
.322,,,,,0,0,0,1978
.34900001,.030472606,.98659801,.030064212,.23860824,0,0,0,1982
